Name,Price,Product Details
BIC®MechanicalPencils XtraStrong 0.9mm AssortedBarrelColors PackOf24Pencils, $3.49 ,"Item :292475 ,OfficeMax :21626395,Manufacturer :MPLWP241 ,Color (Barrel): Assorted ,Lead Size: 0.9 mm ,eraser included: Yes ,grip type: Hexagonal ,refillable: Yes ,pocket clip: Yes ,Product Line: Xtra Strong ,quantity: 24 ,brand name: BIC ,manufacturer: BIC CORP ,Product Type: Mechanical Pencil"
OfficeDepot®BrandChisel-TipHighlighters 100%Recycled FluorescentYellow PackOf12, $5.00 ,"Item :128844 ,OfficeMax :24958048,Manufacturer :HY1066-YLN ,quantity: 12 ,point type: Chisel ,Color (Barrel): Yellow ,Color (Ink): Fluorescent Yellow ,erasable: Yes ,grip type: Contoured ,pocket clip: No ,refillable: No ,retractable: No ,Smudge Resistant: Yes ,visible ink supply: No ,washable: No ,Product Line: Chisel-Tip Highlighter ,brand name: Office Depot ,Distributed By: Office Depot Inc. ,Eco-conscious: Recycled Content; Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,Post Consumer Recycled Content Percentage: 30 % ,Product Type: Highlighter ,Total Recycled Content Percentage: 100 %"
Pilot®G-2RetractableGelPens FinePoint 0.7mm ClearBarrels BlueInk PackOf12Pens, $17.99 ,"Item :790801 ,OfficeMax :20478662,Manufacturer :31021 ,point size: 0.7 Mm ,Color (Barrel): Clear ,point type: Fine ,Color (Ink): Blue ,click style: Top ,erasable: No ,grip type: Rubberized ,ink type: Gel ,refillable: Yes ,retractable: Yes ,Smudge Resistant: Yes ,pocket clip: Yes ,visible ink supply: Yes ,Product Line: G2 ,Quick Drying: Yes ,quantity: 12 ,brand name: Pilot ,manufacturer: PILOT CORPORATION OF AMERICA ,Product Type: Roller Pen ,assembly required: No ,barrel color: Clear ,ink color: Blue ,Pen Point: Fine ,pen point size: 0.7"
Zebra®Z-Grip™RetractableBallpointPens MediumPoint 1.0mm ClearBarrel BlackInk PackOf24, $9.99 ,"Item :295825 ,OfficeMax :21077139,Manufacturer :12221 ,point size: 1.0 mm ,Color (Barrel): Tinted ,point type: Medium ,Color (Ink): Black ,click style: Top ,erasable: No ,grip type: Rubberized ,ink type: Oil Based ,refillable: No ,retractable: Yes ,Smudge Resistant: Yes ,Material (barrel): Plastic ,pocket clip: Yes ,visible ink supply: Yes ,Product Line: Z-Grip ,material family: Plastic ,Quick Drying: Yes ,quantity: 24 ,brand name: Zebra Pen ,manufacturer: ZEBRA PEN CORP ,Product Type: Ballpoint Pen"
TUL®RetractableGelPens FinePoint 0.5mm SilverBarrel BlackInk PackOf12Pens, $16.99 ,"Item :1373887 ,OfficeMax :21079020,Manufacturer :OM96455 ,Color (Ink): Black ,point size: 0.5 Mm ,Color (Barrel): Silver ,point type: Fine ,click style: Top ,erasable: No ,grip type: Cushioned ,ink type: Gel ,refillable: No ,retractable: Yes ,Smudge Resistant: Yes ,Material (barrel): Plastic ,pocket clip: Yes ,visible ink supply: No ,material family: Plastic ,quantity: 12 ,brand name: TUL ,Distributed By: Office Depot Inc. ,Product Type: Gel Pen"
Crayola®FineLineMarkers AssortedClassicClasspack® PackOf10, $1.25 ,"Item :913819 ,OfficeMax :20153888,Manufacturer :58-7726 ,point type: Fine ,Color (Barrel): Assorted ,Color (Ink): Black; Blue; Brown; Gray; Green; Orange; Pink; Red; Violet; Yellow ,odorless: Yes ,washable: No ,ink type: Water Based ,quantity: 10 ,brand name: Crayola ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: CRAYOLA LLC ,Post Consumer Recycled Content Percentage: 6 % ,Product Type: Marker Pen ,Total Recycled Content Percentage: 23 %"
TUL®RetractableGelPens FinePoint 0.5mm SilverBarrel BlueInk PackOf12Pens, $17.99 ,"Item :1373914 ,OfficeMax :21079011,Manufacturer :OM96454 ,Color (Ink): Blue ,point size: 0.5 Mm ,Color (Barrel): Silver ,point type: Fine ,click style: Top ,erasable: No ,grip type: Cushioned ,ink type: Gel ,refillable: No ,retractable: Yes ,Smudge Resistant: Yes ,Material (barrel): Plastic ,pocket clip: Yes ,visible ink supply: No ,material family: Plastic ,quantity: 12 ,brand name: TUL ,Distributed By: Office Depot Inc. ,Product Type: Gel Pen"
"OfficeDepot®BrandSide-ApplicationCorrectionTape 1Linex392"" PackOf12", $19.99 ,"Item :965232 ,OfficeMax :24995301,Manufacturer :RTP-002191 ,length: 392 in. ,quantity: 12 ,color: Assorted ,line coverage: 1 ,Material (Dispenser): Plastic ,refillable: No ,width: 11/64 in. ,Product Line: Side-Application ,material family: Plastic ,brand name: Office Depot ,Distributed By: Office Depot Inc. ,point type: Medium ,Product Type: Correction Tape"
Pilot®G-2RetractableGelInkPens FinePoint 0.7mm BlackBarrel BlackInk PackOf12Pens, $17.99 ,"Item :4054114 ,OfficeMax :20150300,Manufacturer :31136 ,Color (Ink): Black ,point size: 0.7 Mm ,Color (Barrel): Black ,point type: Fine ,click style: Top ,erasable: No ,grip type: Rubberized ,ink type: Gel ,refillable: Yes ,retractable: Yes ,Smudge Resistant: No ,Material (barrel): Plastic ,pocket clip: No ,visible ink supply: Yes ,Product Line: G2 ,material family: Plastic ,Quick Drying: Yes ,quantity: 12 ,brand name: Pilot ,manufacturer: PILOT CORPORATION OF AMERICA ,Product Type: Gel Pen"
Sharpie®Accent®Highlighters FluorescentYellow PackOf12, $8.99 ,"Item :203174 ,OfficeMax :10000884,Manufacturer :25025 ,point type: Chisel ,Color (Ink): Fluorescent Yellow ,erasable: No ,refillable: No ,retractable: No ,washable: No ,quantity: 12 ,brand name: Sharpie ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: NEWELL BRANDS INC. ,Product Type: Highlighter"
