Name,Price,Product Details
"
				Pilot® Acroball Retractable Hybrid Gel Pens, Medium Point, 1.0 mm, Assorted Barrels, Assorted Ink Colors, Pack Of 5 Pens
				
		        		












	
			,
			
		        
	        ", $11.19 ,"Item #:155324 ,OfficeMax #:25471953,Manufacturer #:PIL31820  ,point size:
												1.0 mm
											,Color (Barrel):
												Red
											,point type:
												Medium
											,Color (Ink):
												Black; Blue; Green; Purple; Red
											,click style:
												Top
											,erasable:
												No
											,grip type:
												Cushioned
											,ink type:
												Oil Based
											,refillable:
												Yes
											,retractable:
												Yes
											,Smudge Resistant:
												Yes
											,Material (barrel):
												Plastic
											,pocket clip:
												Yes
											,visible ink supply:
												Yes
											,Product Line:
												Acroball
											,Ultra-Low Viscosity (ULV):
												No
											,material family:
												Plastic
											,Quick Drying:
												No
											,quantity:
												5
											,brand name:
												Pilot
											,Eco-conscious:
												Recycled Content
											,Post Consumer Recycled Content Percentage:
												20 %
											,Product Type:
												Roller Pen
											,Total Recycled Content Percentage:
												20 %
											,assembly required:
												No
											,barrel color:
												Black; Blue; Red; Green; Purple
											,ink color:
												Black; Blue; Red; Green; Purple
											,Pen Point:
												Medium
											,pen point size:
												1
											"
"
				Office Depot® Brand Pencil Pouch With Neon Zipper, 7-7/8"" x 3-15/16"", Gray/Pink
				
		        		












	
			,
			
		        
	        ", $4.99 ,"Item #:8686049 ,Manufacturer #:84107-3.  ,color:
											Gray/Pink
										,primary material:
											Polyester
										,material family:
											Fabric
										,closure type:
											Zipper
										,number of holes punched:
											0
										,height:
											3-15/16 in.
										,width:
											7-7/8 in.
										,Product Line:
											Pencil Pouches With Neon Zippers
										,quantity:
											1
										,brand name:
											Office Depot
										,Distributed By:
											Office Depot Inc.
										,manufacturer:
											OFFICE DEPOT
										,Product Type:
											Pencil Pouch
										"
"
				Business Source Retractable Ballpoint Pens - Medium Pen Point - Black - Gray Barrel - 12 / Dozen
				
		        		












	
			,
			
		        
	        ", $8.09 ,"Item #:9335517 ,Manufacturer #:BSN25050  ,Color (Barrel):
											Gray
										,point type:
											Medium
										,Color (Ink):
											Black
										,erasable:
											No
										,refillable:
											No
										,retractable:
											Yes
										,pocket clip:
											Yes
										,quantity:
											12
										,brand name:
											Business Source
										,manufacturer:
											SP RICHARDS
										,Product Type:
											Ballpoint Pen
										"
"
				Pentel EnerGel Alloy Gel Ink Retractable Pen - Medium Pen Point - 0.7 mm Pen Point Size - Refillable - Retractable - Black Liquid Gel Ink Ink - Gold Aluminum Alloy Barrel - Metal Tip - 1 Each
				
		        		












	
			,
			
		        
	        ", $11.99 ,"Item #:6254536 ,Manufacturer #:PENBL407XABX  ,Color (Ink):
											Black
										,point size:
											0.7 mm
										,Color (Barrel):
											Gold
										,point type:
											Medium
										,ink type:
											Liquid Gel
										,refillable:
											Yes
										,retractable:
											Yes
										,Smudge Resistant:
											Yes
										,Product Line:
											EnerGel Alloy
										,quantity:
											1
										,brand name:
											Pentel
										,manufacturer:
											PENTEL OF AMERICA, LTD.
										,Product Type:
											Gel Pen
										"
"
				Pentel® Super Hi-Polymer Lead Refills, Medium Point, 0.7 mm, 2H Hardness, Tub Of 12 Refills
				
		        		












	
			,
			
		        
	        ", $1.49 ,"Item #:929513 ,OfficeMax #:20571043,Manufacturer #:PEN502H  ,color:
											Black
										,Lead Size:
											0.7 mm
										,Product Line:
											Super Hi-Polymer
										,quantity:
											12
										,brand name:
											Pentel
										,Eco-conscious:
											Recycled Content
										,Product Type:
											Mechanical Pencil Refill
										,Total Recycled Content Percentage:
											100 %
										,Additional Information:
											,assembly required:
											No
										,lead color:
											Black
										,Pencil Refill Grade:
											2H
										,Pencil Refill Point Type:
											Medium
										"
"
				Monteverde® Ink Bottle, Black
				
		        		












	
			,
			
		        
	        ", $14.69 ,"Item #:537412 ,Manufacturer #:G308BK  ,Color (Ink):
											Black
										,Product Line:
											Ink
										,quantity:
											1
										,brand name:
											MONTEVERDE USA
										,Product Type:
											Cartridges Pen Refill
										"
"
				Pilot Jumbo Chisel Felt-Tip Permanent Marker, Black Ink, Black/White Barrel
				
		        		












	
			,
			
		        
	        ", $6.69 ,"Item #:259218 ,OfficeMax #:20105146,Manufacturer #:PIL43100  ,point type:
												Chisel
											,Color (Barrel):
												White; Black
											,Color (Ink):
												Black
											,pocket clip:
												No
											,erasable:
												No
											,grip type:
												None
											,Low Viscosity:
												No
											,retractable:
												No
											,visible ink supply:
												No
											,washable:
												No
											,ink type:
												Liquid
											,Product Line:
												Jumbo
											,quantity:
												1
											,brand name:
												Pilot
											,Post Consumer Recycled Content Percentage:
												0 %
											,Product Type:
												Marker Pen
											,Total Recycled Content Percentage:
												0 %
											"
"
				Dixon Chisel Tip Dry-erase Markers - Chisel Marker Point Style - Black, Red, Blue, Green - 4 / Set
				
		        		












	
			,
			
		        
	        ", $6.39 ,"Item #:553214 ,OfficeMax #:21295929,Manufacturer #:DIX92040  ,Color (Ink):
											Black; Red; Blue; Green
										,quantity:
											4
										,brand name:
											Dixon
										,Product Type:
											Dry-Erase Marker
										,assembly required:
											No
										,Certifications & Standards:
											,ink color:
											Black; Red; Blue; Green
										,Marker Point Style:
											Chisel
										"
"
				Koh-I-Noor Metal Blade Pencil Sharpener, Blue
				
		        		












	
			,
			
		        
	        ", $4.79 ,"Item #:274350 ,OfficeMax #:25432381,Manufacturer #:KOH506901BC  ,color:
											Blue
										,primary material:
											Plastic
										,material family:
											Plastic
										,Material (Cutter):
											Metal
										,Number Of Holes:
											2
										,depth:
											1-1/2 in.
										,height:
											3 in.
										,width:
											1-1/2 in.
										,Product Line:
											Metal Blade Pencil Sharpener
										,quantity:
											1
										,brand name:
											Koh-I-Noor
										,manufacturer:
											KOH-I-NOOR RAPIDOGRAPH, INC.
										,Product Type:
											Manual Pencil Sharpener
										"
"
				BIC® Great Erase Dry-Erase Markers, Chisel Point, White Barrel, Blue Ink, Pack Of 12 Markers
				
		        		












	
			,
			
		        
	        ", $20.49 ,"Item #:746900 ,OfficeMax #:22640331,Manufacturer #:BICDEC11BE  ,Color (Barrel):
												White
											,Color (Ink):
												Blue
											,point type:
												Chisel
											,retractable:
												No
											,grip type:
												None
											,Barrel Type:
												Tank
											,magnetic:
												No
											,scented:
												No
											,Product Line:
												Great Erase
											,washable:
												No
											,quantity:
												12
											,brand name:
												BIC
											,manufacturer:
												BIC CORP
											,Product Type:
												Dry-Erase Marker
											,assembly required:
												No
											,Barrel Material:
												Plastic
											,Certifications & Standards:
												,Environmentally Friendly:
												Yes
											,ink color:
												Blue
											,Marker Point:
												Bold
											,Marker Point Style:
												Chisel
											"
